Thresholds,False match rate (%),False non-match rate (%)
0.1,0.0,100.0
0.1368421052631579,0.0,99.30555555555556
0.1736842105263158,0.0,98.37962962962963
0.2105263157894737,0.0,95.13888888888889
0.2473684210526316,0.0,92.12962962962963
0.28421052631578947,0.0,87.26851851851852
0.32105263157894737,0.0,83.10185185185185
0.35789473684210527,0.0,75.0
0.39473684210526316,0.002163378331602631,67.12962962962963
0.43157894736842106,0.002163378331602631,59.72222222222222
0.46842105263157896,0.004326756663205262,50.92592592592593
0.5052631578947369,0.006490134994807892,42.824074074074076
0.5421052631578948,0.012980269989615784,34.9537037037037
0.5789473684210527,0.03245067497403946,28.703703703703702
0.6157894736842106,0.07571824160609207,24.537037037037038
0.6526315789473685,0.20984769816545518,18.75
0.6894736842105263,0.5170474212530287,15.972222222222221
0.7263157894736842,1.1530806507442022,12.268518518518519
0.7631578947368421,2.3883696780893042,9.25925925925926
0.8,4.5647282796815505,5.324074074074074
